"","t","NO2"
"647",1498428000,12.7
"648",1498431600,21.4
"649",1498435200,26.5
"650",1498438800,19.5
"651",1498442400,10.1
"652",1498446000,6.2
"653",1498449600,12.8
"654",1498453200,27.5
"655",1498456800,29
"656",1498460400,27.1
"657",1498464000,22.6
"658",1498467600,16.7
"659",1498471200,9.6
"660",1498474800,5.3
"661",1498478400,4.8
"662",1498482000,9.2
"663",1498485600,15.1
"664",1498489200,14.7
"665",1498492800,22.4
"666",1498496400,25.2
"667",1498500000,12.6
"668",1498503600,12
"669",1498507200,14.5
"670",1498510800,22.6
"671",1498514400,24.1
"672",1498518000,21.3
"673",1498521600,17.4
"674",1498525200,17.4
"675",1498528800,14.6
"676",1498532400,14
"677",1498536000,19.4
"678",1498539600,22.1
"679",1498543200,27.6
"680",1498546800,30.4
"681",1498550400,29.7
"682",1498554000,25.6
"683",1498557600,19.6
"684",1498561200,9.2
"685",1498564800,4.6
"686",1498568400,3.6
"687",1498572000,3.3
"688",1498575600,5
"689",1498579200,16.6
"690",1498582800,13
"691",1498586400,10.1
"692",1498590000,10.2
"693",1498593600,12.6
"694",1498597200,12.8
"695",1498600800,11.8
"696",1498604400,8.2
"697",1498608000,7.9
"698",1498611600,5.3
"699",1498615200,4.7
"700",1498618800,5
"701",1498622400,5.9
"702",1498626000,14.1
"703",1498629600,21.7
"704",1498633200,25.2
"705",1498636800,21.5
"706",1498640400,10.8
"707",1498644000,6.3
"708",1498647600,5.3
"709",1498651200,4.3
"710",1498654800,4.2
"711",1498658400,3.2
"712",1498662000,10.5
"713",1498665600,20.7
"714",1498669200,NA
"715",1498672800,NA
"716",1498676400,NA
"717",1498680000,NA
"718",1498683600,NA
"719",1498687200,NA
